countyFIPS,County Name,State,Population,Land Area in square miles,Pop. Density,Cases in given period,Deaths in given period,Percentage of fully vaccinated,Percentage of vaccinated with booster
1001,Autauga County ,AL,55869,594.44,93.98593634344928,2233,3,40.5,40.5
1003,Baldwin County ,AL,223234,1589.78,140.4181710676949,10402,15,48.6,48.6
1005,Barbour County ,AL,24686,884.88,27.897568031823525,1194,2,42.85,42.85
1007,Bibb County ,AL,22394,622.58,35.969674579973656,1262,0,33.3,33.3
1009,Blount County ,AL,57826,644.78,89.6833028319737,2171,6,30.200000000000003,30.200000000000003
1011,Bullock County ,AL,10101,622.81,16.218429376535383,473,0,49.4,49.4
1013,Butler County ,AL,19448,776.83,25.0350784598947,906,4,37.75,37.75
1015,Calhoun County ,AL,113605,605.87,187.5072210210111,5108,12,45.35,45.35
1017,Chambers County ,AL,33254,596.53,55.745729468761006,1711,0,29.950000000000003,29.950000000000003
1019,Cherokee County ,AL,26196,553.7,47.31081813256276,1144,2,30.05,30.05
1021,Chilton County ,AL,44428,692.85,64.12354766543984,1985,6,34.8,34.8
1023,Choctaw County ,AL,12589,913.5,13.781061850027367,577,1,63.400000000000006,63.400000000000006
1025,Clarke County ,AL,23622,1238.47,19.07353428020057,1471,1,49.3,49.3
1027,Clay County ,AL,13235,603.96,21.913702894231406,962,2,40.85,40.85
1029,Cleburne County ,AL,14910,560.1,26.62024638457418,477,2,29.05,29.05
1031,Coffee County ,AL,52342,678.97,77.09029854043625,2412,6,41.9,41.9
1033,Colbert County ,AL,55241,592.62,93.21487631197057,4403,3,46.35,46.35
1035,Conecuh County ,AL,12067,850.16,14.19379881434083,629,1,41.35,41.35
1037,Coosa County ,AL,10663,650.93,16.381177699599036,653,1,39.150000000000006,39.150000000000006
1039,Covington County ,AL,37049,1030.46,35.953845855249114,1440,3,36.85,36.85
1041,Crenshaw County ,AL,13772,608.84,22.62006438473162,647,2,33.1,33.1
1043,Cullman County ,AL,83768,734.84,113.99488323988895,4563,9,36.95,36.95
1045,Dale County ,AL,49172,561.15,87.62719415486056,1981,6,48.8,48.8
1047,Dallas County ,AL,37196,978.7,38.00551752324512,1753,6,43.150000000000006,43.150000000000006
1049,DeKalb County ,AL,71513,777.09,92.0266635782213,3182,9,32.4,32.4
1051,Elmore County ,AL,81209,618.49,131.30204207020324,3708,5,43.6,43.6
1053,Escambia County ,AL,36633,945.08,38.761797943031276,1936,3,35.0,35.0
1055,Etowah County ,AL,102268,534.99,191.1587132469766,4987,7,39.650000000000006,39.650000000000006
1057,Fayette County ,AL,16302,627.66,25.972660357518404,744,0,33.650000000000006,33.650000000000006
1059,Franklin County ,AL,31362,633.82,49.48092518380612,2004,5,41.95,41.95
1061,Geneva County ,AL,26271,574.41,45.7356243797984,792,4,38.05,38.05
1063,Greene County ,AL,8111,647.11,12.534190477662221,298,2,48.7,48.7
1065,Hale County ,AL,14651,643.94,22.75211976271081,917,3,58.900000000000006,58.900000000000006
1067,Henry County ,AL,17205,561.75,30.62750333778371,695,1,43.7,43.7
1069,Houston County ,AL,105882,579.82,182.61184505536198,4114,12,41.45,41.45
1071,Jackson County ,AL,51626,1077.87,47.896314026737926,2458,6,47.0,47.0
1073,Jefferson County ,AL,658573,1111.28,592.6256209056223,39888,17,55.35,55.35
1075,Lamar County ,AL,13805,604.85,22.82384062164173,609,1,42.1,42.1
1077,Lauderdale County ,AL,92729,667.7,138.87823872996853,5263,11,44.55,44.55
1079,Lawrence County ,AL,32924,690.68,47.66896391961546,1577,4,45.55,45.55
1081,Lee County ,AL,164542,607.54,270.83319616815356,7656,6,37.8,37.8
1083,Limestone County ,AL,98915,559.94,176.65285566310675,4983,7,36.3,36.3
1085,Lowndes County ,AL,9726,715.91,13.58550655808691,499,0,47.15,47.15
1087,Macon County ,AL,18068,608.89,29.673668478707157,852,0,45.55,45.55
1089,Madison County ,AL,372909,801.59,465.21164186179965,19639,30,58.85,58.85
1091,Marengo County ,AL,18863,976.88,19.309434116779954,863,0,52.35,52.35
1093,Marion County ,AL,29709,742.29,40.02344097320454,1564,2,35.15,35.15
1095,Marshall County ,AL,96774,565.84,171.027145482822,4650,14,43.75,43.75
1097,Mobile County ,AL,413210,1229.44,336.0961087975013,24219,34,47.45,47.45
1099,Monroe County ,AL,20733,1025.68,20.21390687153888,1183,1,42.05,42.05
1101,Montgomery County ,AL,226486,784.25,288.7931144405483,10844,12,50.2,50.2
1103,Morgan County ,AL,119679,579.34,206.57817516484275,7938,13,42.0,42.0
1105,Perry County ,AL,8923,719.66,12.398910596670651,386,-1,46.5,46.5
1107,Pickens County ,AL,19930,881.41,22.611497486981087,1244,1,47.15,47.15
1109,Pike County ,AL,33114,672.09,49.27018702852296,1197,4,40.1,40.1
1111,Randolph County ,AL,22722,580.55,39.13874773921282,1020,2,31.9,31.9
1113,Russell County ,AL,57961,641.14,90.40303209907353,1591,2,38.4,38.4
1115,St. Clair County ,AL,89512,631.9,141.6553252096851,5019,7,37.6,37.6
1117,Shelby County ,AL,217702,784.93,277.35212057126114,12001,13,34.75,34.75
1119,Sumter County ,AL,12427,903.89,13.7483543351514,644,0,48.400000000000006,48.400000000000006
1121,Talladega County ,AL,79978,736.78,108.55072070360217,4530,9,35.35,35.35
1123,Tallapoosa County ,AL,40367,716.52,56.33757606207782,2539,5,37.400000000000006,37.400000000000006
1125,Tuscaloosa County ,AL,209355,1321.76,158.39108461445346,11856,19,41.95,41.95
1127,Walker County ,AL,63521,791.19,80.28539288919222,3170,4,45.55,45.55
1129,Washington County ,AL,16326,1080.21,15.113727886244341,687,1,44.35,44.35
1131,Wilcox County ,AL,10373,888.5,11.674732695554304,658,0,51.05,51.05
1133,Winston County ,AL,23629,612.98,38.54775033443179,1374,3,21.35,21.35
2013,Aleutians East Borough ,AK,3337,6981.94,0.4779473899804353,255,0,71.35,71.35
2016,Aleutians West Census Area ,AK,5634,4390.28,1.283289448508979,425,0,59.3,59.3
2020,Municipality of Anchorage,AK,288000,1704.68,168.94666447661731,26852,41,61.0,61.0
2050,Bethel Census Area ,AK,18386,40570.0,0.45319201380330293,1111,5,64.6,64.6
2060,Bristol Bay Borough ,AK,836,503.84,1.6592569069545888,0,0,95.0,95.0
2068,Denali Borough ,AK,2097,12751.41,0.16445240173439643,49,0,50.5,50.5
2070,Dillingham Census Area ,AK,4916,18568.78,0.2647454490817383,233,1,48.4,48.4
2090,Fairbanks North Star Borough ,AK,96849,7338.21,13.197905211216359,6405,6,54.0,54.0
2100,Haines Borough ,AK,2530,2318.6,1.0911757094798586,120,0,67.4,67.4
2105,Hoonah-Angoon Census Area ,AK,2148,7524.92,0.28545153968414283,0,0,70.15,70.15
2110,City and Borough of Juneau,AK,31974,2701.93,11.833763272919729,2357,3,71.05,71.05
2122,Kenai Peninsula Borough ,AK,58708,16075.33,3.652055665420243,2788,11,44.650000000000006,44.650000000000006
2130,Ketchikan Gateway Borough ,AK,13901,4858.41,2.861224145347964,910,3,61.7,61.7
2150,Kodiak Island Borough ,AK,12998,6549.58,1.9845547348074228,1494,0,62.05,62.05
2158,Kusilvak Census Area ,AK,8314,17081.43,0.48672739928682784,0,0,65.25,65.25
2164,Lake and Peninsula Borough ,AK,1592,23652.01,0.06730928999268984,0,0,57.3,57.3
2170,Matanuska-Susitna Borough ,AK,108317,24607.9,4.401716521929949,5534,25,36.75,36.75
2180,Nome Census Area ,AK,10004,22961.76,0.4356808885730014,1485,0,66.9,66.9
2185,North Slope Borough ,AK,9832,88695.41,0.1108512830596307,606,1,37.45,37.45
2188,Northwest Arctic Borough ,AK,7621,35572.58,0.21423804514600853,919,2,56.75,56.75
2195,Petersburg Borough ,AK,3266,3281.98,0.9951309880011456,0,0,72.1,72.1
2198,Prince of Wales - Hyder Census Area ,AK,6203,3922.87,1.5812402654179212,0,0,52.7,52.7
2220,City and Borough of Sitka,AK,8493,2870.34,2.958882919793474,554,0,73.35,73.35
2230,Municipality of Skagway,AK,1183,452.33,2.615347202263834,0,0,71.1,71.1
2240,Southeast Fairbanks Census Area ,AK,6893,24768.81,0.2782935474090196,286,2,34.5,34.5
2261,Valdez-Cordova Census Area ,AK,9202,34239.88,0.2687509418841421,354,3,56.75,56.75
2275,City and Borough of Wrangell,AK,2502,2541.48,0.9844657443694226,0,0,56.85,56.85
2282,City and Borough of Yakutat,AK,579,7649.46,0.0756916174475061,0,0,74.95,74.95
2290,Yukon-Koyukuk Census Area ,AK,5230,145504.79,0.035943833876534236,270,0,67.3,67.3
4001,Apache County ,AZ,71887,11197.52,6.419903692960584,4238,29,90.75,90.75
4003,Cochise County ,AZ,125922,6165.69,20.423018348311384,8061,41,60.75,60.75
4005,Coconino County ,AZ,143476,18618.89,7.705937357167909,12598,22,74.05000000000001,74.05000000000001
4007,Gila County ,AZ,54018,4757.93,11.353256563253346,3408,30,56.4,56.4
4009,Graham County ,AZ,38837,4622.6,8.40154891186778,2141,7,60.05,60.05
4011,Greenlee County ,AZ,9498,1843.13,5.153190496600891,579,3,42.15,42.15
4012,La Paz County ,AZ,21108,4499.63,4.691052375417534,1142,8,46.650000000000006,46.650000000000006
4013,Maricopa County ,AZ,4485414,9200.14,487.53758094985517,312963,1060,54.35,54.35
4015,Mohave County ,AZ,212181,13311.08,15.940179159016399,14175,103,39.75,39.75
4017,Navajo County ,AZ,110924,9950.42,11.147670148596742,8336,65,69.85,69.85
4019,Pima County ,AZ,1047279,9187.04,113.99525853811456,60990,287,65.0,65.0
4021,Pinal County ,AZ,462789,5365.61,86.25095748666043,31976,133,50.8,50.8
4023,Santa Cruz County ,AZ,46498,1236.92,37.591760178507904,5223,6,95.0,95.0
4025,Yavapai County ,AZ,235099,8123.5,28.940604419277406,8447,113,45.0,45.0
4027,Yuma County ,AZ,213787,5513.99,38.771742422456335,14880,69,65.25,65.25
5001,Arkansas County ,AR,17486,988.77,17.684598035943647,1711,4,53.65,53.65
5003,Ashley County ,AR,19657,925.35,21.242773004808992,1342,1,48.05,48.05
5005,Baxter County ,AR,41932,554.28,75.65129537417911,1516,16,45.6,45.6
5007,Benton County ,AR,279141,847.36,329.42432968277944,16065,37,51.0,51.0
5009,Boone County ,AR,37432,590.23,63.41934500110126,1913,7,36.05,36.05
5011,Bradley County ,AR,10763,649.23,16.57810021101921,760,1,54.55,54.55
5013,Calhoun County ,AR,5189,628.58,8.255114702981322,204,0,35.599999999999994,35.599999999999994
5015,Carroll County ,AR,28380,630.09,45.04118459267723,1143,6,45.55,45.55
5017,Chicot County ,AR,10118,644.3,15.703864659320194,568,2,52.95,52.95
5019,Clark County ,AR,22320,866.07,25.77158890158994,1216,4,46.95,46.95
5021,Clay County ,AR,14551,639.47,22.754781303266768,840,1,43.95,43.95
5023,Cleburne County ,AR,24919,553.69,45.00532789105817,1698,6,42.55,42.55
5025,Cleveland County ,AR,7956,597.78,13.309244203553147,636,0,50.4,50.4
5027,Columbia County ,AR,23457,766.05,30.620716663403172,1298,0,46.6,46.6
5029,Conway County ,AR,20846,552.25,37.74739701222273,1600,2,51.900000000000006,51.900000000000006
5031,Craighead County ,AR,110332,707.21,156.01023741180128,9154,18,43.35,43.35
5033,Crawford County ,AR,63257,593.09,106.65666256386045,3506,15,44.0,44.0
5035,Crittenden County ,AR,47955,609.76,78.64569666754133,3313,7,42.5,42.5
5037,Cross County ,AR,16419,616.38,26.637788377299717,1287,2,49.6,49.6
5039,Dallas County ,AR,7009,667.39,10.502105215840812,439,2,54.7,54.7
5041,Desha County ,AR,11361,768.15,14.790080062487796,847,0,57.25,57.25
